Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=10, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device 10 	 Train loss 0.1471 	 LR 0.0027 	 Train images 400 	 Round 129
Device 10 	 Train loss 0.1417 	 LR 0.0027 	 Train images 400 	 Round 130
Device 10 	 Train loss 0.1427 	 LR 0.0027 	 Train images 400 	 Round 131
Device 10 	 Train loss 0.1386 	 LR 0.0027 	 Train images 400 	 Round 132
Device 10 	 Train loss 0.1500 	 LR 0.0026 	 Train images 400 	 Round 133
Device 10 	 Train loss 0.1485 	 LR 0.0026 	 Train images 400 	 Round 134
Device 10 	 Train loss 0.1509 	 LR 0.0026 	 Train images 400 	 Round 135
Device 10 	 Train loss 0.1473 	 LR 0.0025 	 Train images 400 	 Round 136
Device 10 	 Train loss 0.1441 	 LR 0.0025 	 Train images 400 	 Round 137
Device 10 	 Train loss 0.1412 	 LR 0.0025 	 Train images 400 	 Round 138
Device 10 	 Train loss 0.1483 	 LR 0.0025 	 Train images 400 	 Round 139
Device 10 	 Train loss 0.1397 	 LR 0.0024 	 Train images 400 	 Round 140
Device 10 	 Train loss 0.1440 	 LR 0.0024 	 Train images 400 	 Round 141
Device 10 	 Train loss 0.1354 	 LR 0.0024 	 Train images 400 	 Round 142
Device 10 	 Train loss 0.1474 	 LR 0.0024 	 Train images 400 	 Round 143
Device 10 	 Train loss 0.1493 	 LR 0.0024 	 Train images 400 	 Round 144
Device 10 	 Train loss 0.1392 	 LR 0.0023 	 Train images 400 	 Round 145
Device 10 	 Train loss 0.1416 	 LR 0.0023 	 Train images 400 	 Round 146
Device 10 	 Train loss 0.1421 	 LR 0.0023 	 Train images 400 	 Round 147
Device 10 	 Train loss 0.1429 	 LR 0.0023 	 Train images 400 	 Round 148
Device 10 	 Train loss 0.1437 	 LR 0.0022 	 Train images 400 	 Round 149
Device 10 	 Train loss 0.1468 	 LR 0.0022 	 Train images 400 	 Round 150
Device 10 	 Train loss 0.1431 	 LR 0.0022 	 Train images 400 	 Round 151
Device 10 	 Train loss 0.1446 	 LR 0.0022 	 Train images 400 	 Round 152
Device 10 	 Train loss 0.1338 	 LR 0.0021 	 Train images 400 	 Round 153
Device 10 	 Train loss 0.1380 	 LR 0.0021 	 Train images 400 	 Round 154
Device 10 	 Train loss 0.1466 	 LR 0.0021 	 Train images 400 	 Round 155
Device 10 	 Train loss 0.1462 	 LR 0.0021 	 Train images 400 	 Round 156
Device 10 	 Train loss 0.1408 	 LR 0.0021 	 Train images 400 	 Round 157
Device 10 	 Train loss 0.1455 	 LR 0.0020 	 Train images 400 	 Round 158
Device 10 	 Train loss 0.1453 	 LR 0.0020 	 Train images 400 	 Round 159
Device 10 	 Train loss 0.1378 	 LR 0.0020 	 Train images 400 	 Round 160
Device 10 	 Train loss 0.1451 	 LR 0.0020 	 Train images 400 	 Round 161
Device 10 	 Train loss 0.1391 	 LR 0.0020 	 Train images 400 	 Round 162
Device 10 	 Train loss 0.1400 	 LR 0.0019 	 Train images 400 	 Round 163
Device 10 	 Train loss 0.1481 	 LR 0.0019 	 Train images 400 	 Round 164
Device 10 	 Train loss 0.1465 	 LR 0.0019 	 Train images 400 	 Round 165
Device 10 	 Train loss 0.1455 	 LR 0.0019 	 Train images 400 	 Round 166
Device 10 	 Train loss 0.1410 	 LR 0.0019 	 Train images 400 	 Round 167
Device 10 	 Train loss 0.1418 	 LR 0.0018 	 Train images 400 	 Round 168
Device 10 	 Train loss 0.1471 	 LR 0.0018 	 Train images 400 	 Round 169
Device 10 	 Train loss 0.1472 	 LR 0.0018 	 Train images 400 	 Round 170
Device 10 	 Train loss 0.1441 	 LR 0.0018 	 Train images 400 	 Round 171
Device 10 	 Train loss 0.1491 	 LR 0.0018 	 Train images 400 	 Round 172
Device 10 	 Train loss 0.1451 	 LR 0.0018 	 Train images 400 	 Round 173
Device 10 	 Train loss 0.1501 	 LR 0.0017 	 Train images 400 	 Round 174
Device 10 	 Train loss 0.1454 	 LR 0.0017 	 Train images 400 	 Round 175
Device 10 	 Train loss 0.1428 	 LR 0.0017 	 Train images 400 	 Round 176
Device 10 	 Train loss 0.1485 	 LR 0.0017 	 Train images 400 	 Round 177
Device 10 	 Train loss 0.1462 	 LR 0.0017 	 Train images 400 	 Round 178
Device 10 	 Train loss 0.1427 	 LR 0.0017 	 Train images 400 	 Round 179
Device 10 	 Train loss 0.1366 	 LR 0.0016 	 Train images 400 	 Round 180
Device 10 	 Train loss 0.1438 	 LR 0.0016 	 Train images 400 	 Round 181
Device 10 	 Train loss 0.1471 	 LR 0.0016 	 Train images 400 	 Round 182
Device 10 	 Train loss 0.1400 	 LR 0.0016 	 Train images 400 	 Round 183
Device 10 	 Train loss 0.1422 	 LR 0.0016 	 Train images 400 	 Round 184
Device 10 	 Train loss 0.1465 	 LR 0.0016 	 Train images 400 	 Round 185
Device 10 	 Train loss 0.1457 	 LR 0.0015 	 Train images 400 	 Round 186
Device 10 	 Train loss 0.1410 	 LR 0.0015 	 Train images 400 	 Round 187
Device 10 	 Train loss 0.1424 	 LR 0.0015 	 Train images 400 	 Round 188
Device 10 	 Train loss 0.1490 	 LR 0.0015 	 Train images 400 	 Round 189
Device 10 	 Train loss 0.1427 	 LR 0.0015 	 Train images 400 	 Round 190
Device 10 	 Train loss 0.1521 	 LR 0.0015 	 Train images 400 	 Round 191
Device 10 	 Train loss 0.1447 	 LR 0.0015 	 Train images 400 	 Round 192
Device 10 	 Train loss 0.1455 	 LR 0.0014 	 Train images 400 	 Round 193
Device 10 	 Train loss 0.1484 	 LR 0.0014 	 Train images 400 	 Round 194
Device 10 	 Train loss 0.1421 	 LR 0.0014 	 Train images 400 	 Round 195
Device 10 	 Train loss 0.1474 	 LR 0.0014 	 Train images 400 	 Round 196
Device 10 	 Train loss 0.1484 	 LR 0.0014 	 Train images 400 	 Round 197
Device 10 	 Train loss 0.1486 	 LR 0.0014 	 Train images 400 	 Round 198
Device 10 	 Train loss 0.1413 	 LR 0.0014 	 Train images 400 	 Round 199
Device 10 	 Train loss 0.1397 	 LR 0.0013 	 Train images 400 	 Round 200
Defense cp on Dataset MNIST.
Finished computations with time: 0:08:09.966697

