Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=20, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=10, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device 10 	 Train loss 0.0849 	 LR 0.0029 	 Train images 400 	 Round 124
Device 10 	 Train loss 0.0852 	 LR 0.0028 	 Train images 400 	 Round 125
Device 10 	 Train loss 0.0886 	 LR 0.0028 	 Train images 400 	 Round 126
Device 10 	 Train loss 0.0857 	 LR 0.0028 	 Train images 400 	 Round 127
Device 10 	 Train loss 0.0882 	 LR 0.0028 	 Train images 400 	 Round 128
Device 10 	 Train loss 0.0843 	 LR 0.0027 	 Train images 400 	 Round 129
Device 10 	 Train loss 0.0870 	 LR 0.0027 	 Train images 400 	 Round 130
Device 10 	 Train loss 0.0850 	 LR 0.0027 	 Train images 400 	 Round 131
Device 10 	 Train loss 0.0875 	 LR 0.0027 	 Train images 400 	 Round 132
Device 10 	 Train loss 0.0837 	 LR 0.0026 	 Train images 400 	 Round 133
Device 10 	 Train loss 0.0870 	 LR 0.0026 	 Train images 400 	 Round 134
Device 10 	 Train loss 0.0874 	 LR 0.0026 	 Train images 400 	 Round 135
Device 10 	 Train loss 0.0855 	 LR 0.0025 	 Train images 400 	 Round 136
Device 10 	 Train loss 0.0835 	 LR 0.0025 	 Train images 400 	 Round 137
Device 10 	 Train loss 0.0869 	 LR 0.0025 	 Train images 400 	 Round 138
Device 10 	 Train loss 0.0845 	 LR 0.0025 	 Train images 400 	 Round 139
Device 10 	 Train loss 0.0869 	 LR 0.0024 	 Train images 400 	 Round 140
Device 10 	 Train loss 0.0861 	 LR 0.0024 	 Train images 400 	 Round 141
Device 10 	 Train loss 0.0859 	 LR 0.0024 	 Train images 400 	 Round 142
Device 10 	 Train loss 0.0839 	 LR 0.0024 	 Train images 400 	 Round 143
Device 10 	 Train loss 0.0875 	 LR 0.0024 	 Train images 400 	 Round 144
Device 10 	 Train loss 0.0874 	 LR 0.0023 	 Train images 400 	 Round 145
Device 10 	 Train loss 0.0848 	 LR 0.0023 	 Train images 400 	 Round 146
Device 10 	 Train loss 0.0851 	 LR 0.0023 	 Train images 400 	 Round 147
Device 10 	 Train loss 0.0868 	 LR 0.0023 	 Train images 400 	 Round 148
Device 10 	 Train loss 0.0844 	 LR 0.0022 	 Train images 400 	 Round 149
Device 10 	 Train loss 0.0854 	 LR 0.0022 	 Train images 400 	 Round 150
Device 10 	 Train loss 0.0880 	 LR 0.0022 	 Train images 400 	 Round 151
Device 10 	 Train loss 0.0854 	 LR 0.0022 	 Train images 400 	 Round 152
Device 10 	 Train loss 0.0841 	 LR 0.0021 	 Train images 400 	 Round 153
Device 10 	 Train loss 0.0870 	 LR 0.0021 	 Train images 400 	 Round 154
Device 10 	 Train loss 0.0863 	 LR 0.0021 	 Train images 400 	 Round 155
Device 10 	 Train loss 0.0860 	 LR 0.0021 	 Train images 400 	 Round 156
Device 10 	 Train loss 0.0883 	 LR 0.0021 	 Train images 400 	 Round 157
Device 10 	 Train loss 0.0877 	 LR 0.0020 	 Train images 400 	 Round 158
Device 10 	 Train loss 0.0883 	 LR 0.0020 	 Train images 400 	 Round 159
Device 10 	 Train loss 0.0876 	 LR 0.0020 	 Train images 400 	 Round 160
Device 10 	 Train loss 0.0869 	 LR 0.0020 	 Train images 400 	 Round 161
Device 10 	 Train loss 0.0862 	 LR 0.0020 	 Train images 400 	 Round 162
Device 10 	 Train loss 0.0872 	 LR 0.0019 	 Train images 400 	 Round 163
Device 10 	 Train loss 0.0855 	 LR 0.0019 	 Train images 400 	 Round 164
Device 10 	 Train loss 0.0852 	 LR 0.0019 	 Train images 400 	 Round 165
Device 10 	 Train loss 0.0881 	 LR 0.0019 	 Train images 400 	 Round 166
Device 10 	 Train loss 0.0862 	 LR 0.0019 	 Train images 400 	 Round 167
Device 10 	 Train loss 0.0833 	 LR 0.0018 	 Train images 400 	 Round 168
Device 10 	 Train loss 0.0860 	 LR 0.0018 	 Train images 400 	 Round 169
Device 10 	 Train loss 0.0866 	 LR 0.0018 	 Train images 400 	 Round 170
Device 10 	 Train loss 0.0877 	 LR 0.0018 	 Train images 400 	 Round 171
Device 10 	 Train loss 0.0880 	 LR 0.0018 	 Train images 400 	 Round 172
Device 10 	 Train loss 0.0874 	 LR 0.0018 	 Train images 400 	 Round 173
Device 10 	 Train loss 0.0841 	 LR 0.0017 	 Train images 400 	 Round 174
Device 10 	 Train loss 0.0853 	 LR 0.0017 	 Train images 400 	 Round 175
Device 10 	 Train loss 0.0875 	 LR 0.0017 	 Train images 400 	 Round 176
Device 10 	 Train loss 0.0862 	 LR 0.0017 	 Train images 400 	 Round 177
Device 10 	 Train loss 0.0888 	 LR 0.0017 	 Train images 400 	 Round 178
Device 10 	 Train loss 0.0885 	 LR 0.0017 	 Train images 400 	 Round 179
Device 10 	 Train loss 0.0891 	 LR 0.0016 	 Train images 400 	 Round 180
Device 10 	 Train loss 0.0875 	 LR 0.0016 	 Train images 400 	 Round 181
Device 10 	 Train loss 0.0887 	 LR 0.0016 	 Train images 400 	 Round 182
Device 10 	 Train loss 0.0879 	 LR 0.0016 	 Train images 400 	 Round 183
Device 10 	 Train loss 0.0880 	 LR 0.0016 	 Train images 400 	 Round 184
Device 10 	 Train loss 0.0887 	 LR 0.0016 	 Train images 400 	 Round 185
Device 10 	 Train loss 0.0877 	 LR 0.0015 	 Train images 400 	 Round 186
Device 10 	 Train loss 0.0898 	 LR 0.0015 	 Train images 400 	 Round 187
Device 10 	 Train loss 0.0858 	 LR 0.0015 	 Train images 400 	 Round 188
Device 10 	 Train loss 0.0851 	 LR 0.0015 	 Train images 400 	 Round 189
Device 10 	 Train loss 0.0896 	 LR 0.0015 	 Train images 400 	 Round 190
Device 10 	 Train loss 0.0880 	 LR 0.0015 	 Train images 400 	 Round 191
Device 10 	 Train loss 0.0907 	 LR 0.0015 	 Train images 400 	 Round 192
Device 10 	 Train loss 0.0864 	 LR 0.0014 	 Train images 400 	 Round 193
Device 10 	 Train loss 0.0896 	 LR 0.0014 	 Train images 400 	 Round 194
Device 10 	 Train loss 0.0911 	 LR 0.0014 	 Train images 400 	 Round 195
Device 10 	 Train loss 0.0911 	 LR 0.0014 	 Train images 400 	 Round 196
Device 10 	 Train loss 0.0851 	 LR 0.0014 	 Train images 400 	 Round 197
Device 10 	 Train loss 0.0904 	 LR 0.0014 	 Train images 400 	 Round 198
Device 10 	 Train loss 0.0894 	 LR 0.0014 	 Train images 400 	 Round 199
Device 10 	 Train loss 0.0849 	 LR 0.0013 	 Train images 400 	 Round 200
Defense soteria on Dataset MNIST.
Finished computations with time: 19:47:21.245388

